id,name_en,name_ja,base_stat_total,hp,attack,defense,special-attack,special-defense,speed,types,sprite_url,generation,evolution_stage,is_legendary,is_mythical
1,bulbasaur,フシギダネ,318,45,49,49,65,65,45,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,generation-i,0,False,False
2,ivysaur,フシギソウ,405,60,62,63,80,80,60,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,generation-i,1,False,False
3,venusaur,フシギバナ,525,80,82,83,100,100,80,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,generation-i,2,False,False
4,charmander,ヒトカゲ,309,39,52,43,60,50,65,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,generation-i,0,False,False
5,charmeleon,リザード,405,58,64,58,80,65,80,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,generation-i,1,False,False
6,charizard,リザードン,534,78,84,78,109,85,100,"fire,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,generation-i,2,False,False
7,squirtle,ゼニガメ,314,44,48,65,50,64,43,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,generation-i,0,False,False
8,wartortle,カメール,405,59,63,80,65,80,58,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,generation-i,1,False,False
9,blastoise,カメックス,530,79,83,100,85,105,78,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,generation-i,2,False,False
10,caterpie,キャタピー,195,45,30,35,20,20,45,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,generation-i,0,False,False
11,metapod,トランセル,205,50,20,55,25,25,30,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,generation-i,1,False,False
12,butterfree,バタフリー,395,60,45,50,90,80,70,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,generation-i,2,False,False
