id,name_en,name_ja,base_stat_total,hp,attack,defense,special-attack,special-defense,speed,types,sprite_url,generation,evolution_stage,is_legendary,is_mythical,total_score_en,total_score_ja
1,bulbasaur,フシギダネ,318,45,49,49,65,65,45,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,generation-i,0,False,False,6,19
2,ivysaur,フシギソウ,405,60,62,63,80,80,60,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,generation-i,1,False,False,5,16
3,venusaur,フシギバナ,525,80,82,83,100,100,80,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,generation-i,2,False,False,8,21
4,charmander,ヒトカゲ,309,39,52,43,60,50,65,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,generation-i,0,False,False,9,18
5,charmeleon,リザード,405,58,64,58,80,65,80,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,generation-i,1,False,False,10,21
6,charizard,リザードン,534,78,84,78,109,85,100,"fire,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,generation-i,2,False,False,9,22
7,squirtle,ゼニガメ,314,44,48,65,50,64,43,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,generation-i,0,False,False,8,18
8,wartortle,カメール,405,59,63,80,65,80,58,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,generation-i,1,False,False,9,17
9,blastoise,カメックス,530,79,83,100,85,105,78,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,generation-i,2,False,False,9,17
10,caterpie,キャタピー,195,45,30,35,20,20,45,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,generation-i,0,False,False,4,12
11,metapod,トランセル,205,50,20,55,25,25,30,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,generation-i,1,False,False,6,19
12,butterfree,バタフリー,395,60,45,50,90,80,70,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,generation-i,2,False,False,6,20
13,weedle,ビードル,195,40,35,30,20,20,50,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,generation-i,0,False,False,5,14
14,kakuna,コクーン,205,45,25,50,25,25,35,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,generation-i,1,False,False,4,12
15,beedrill,スピアー,395,65,90,40,45,80,75,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,generation-i,2,False,False,7,17
16,pidgey,ポッポ,251,40,45,40,35,35,56,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,generation-i,0,False,False,5,11
17,pidgeotto,ピジョン,349,63,60,55,50,50,71,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,generation-i,1,False,False,5,6
18,pidgeot,ピジョット,479,83,80,75,70,70,101,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,generation-i,2,False,False,5,11
19,rattata,コラッタ,253,30,56,35,25,35,72,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,generation-i,0,False,False,6,18
